label,token_count,text,original_text
0,31,请国家还原真相nbspnbsp因为相关部门的过失害死了这么多人nbspnbspnbsp现在连死亡人数也要隐瞒nbspnbspnbsp是人么你们nbspnbspnbsp,请国家还原真相&nbsp;&nbsp;因为相关部门的过失害死了这么多人&nbsp;&nbsp;&nbsp;现在连死亡人数也要隐瞒&nbsp;&nbsp;&nbsp;是人么你们&nbsp;&nbsp;&nbsp;#塘沽爆炸真相#
1,31,Stark家族恭喜权力的游戏在第67届艾美奖中获得24项提名与12座奖杯私生子囧斯诺则表示我啥也不知道,Stark家族恭喜《权力的游戏》在第67届艾美奖中获得24项提名与12座奖杯。私生子囧斯诺则表示我啥也不知道。
1,32,今天上午山东平邑一石膏矿垮塌引发震动目前有多人被埋伤亡不明据 正式测定振动相当于4级地震据新华社愿一切平安,今天上午，山东平邑一石膏矿垮塌引发震动，目前有多人被埋，伤亡不明。据@中国地震台网速报 正式测定：振动相当于4级地震。（据新华社）愿一切平安！
0,32,转发一位叫徐敬的女孩21岁请速回雅安水城县人民医院妈妈伤的很严重想见她最后一面爸爸号码15193383486爱心接力,（转发）一位叫徐敬的女孩，21岁，请速回雅安水城县人民医院，妈妈伤的很严重，想见她最后一面，爸爸号码：15193383486，爱心接力！
0,33,男主已被乱棍打死好么 来自网易新闻广西南宁一奔驰车闯拆迁现场撞人 致3人受伤更多精彩尽在 O网页链接,『男主已被乱棍打死好么』-- 来自网易新闻《广西南宁一奔驰车闯拆迁现场撞人 致3人受伤》更多精彩尽在 O网页链接
0,34,我们曾经看过的超人迪加奥特曼已经死了 男主角长野博在2013年4月25日长野博出车祸去世享年40岁,我们曾经看过的超人迪加奥特曼已经死了 ！！！ 男主角长野博在2013年4月25日长野博出车祸去世。享年40岁
0,35,台风海欧悄悄的走了传说中的乌鸦又来伟大的神啊请不要再玩我们这些善良的人们了劳烦您拐个弯去他国吧 我在2金海岸大道,台风海欧悄悄的走了，传说中的乌鸦又来？伟大的神啊！请不要再玩我们这些善良的人们了，劳烦您拐个弯去他国吧！ 我在:2金海岸大道
1,35,致青春12部值得一看的日本电影把平常无奇的青春拍得动人心魄O24楼影院影荐 致青春12部值得一看的日本电影,#24楼影院#【影荐 | 致青春，12部值得一看的日本电影】把平常无奇的青春拍得动人心魄。O【24楼影院】影荐 | 致青春，12部值得一看的日本电影
1,36,汤面做法集锦汤面虽则简单却透着一股浓浓的温暖在这个寒冷的夜晚来上一碗热汤面在适合不过了试学几道吧by网络,【汤面做法集锦】汤面，虽则简单，却透着一股浓浓的温暖。在这个寒冷的夜晚来上一碗热汤面在适合不过了！试学几道吧!by网络
0,37,帮忙转发一下一名中学生叫周榆棍17岁请速回平山县医院妈妈伤的很严重想见她最后一面爸爸号码18332383039爱心接力好人有好报,帮忙转发一下，一名中学生，叫周榆棍，17岁，请速回平山县医院，妈妈伤的很严重，想见她最后一面，爸爸号码：18332383039爱心接力，好人有好报 ！！！！@天使向莉 @汪永强律师@孔智勇@王光复@一笔书生 @王亚军北京
0,38,帮忙转发一下一位叫徐敬的女孩21岁请速回雅安水城县人民医院妈妈伤的很严重想见她最后一面爸爸号码15193383486爱心接力好人有好报,#雅安7级地震# 帮忙转发一下，一位叫徐敬的女孩，21岁，请速回雅安水城县人民医院，妈妈伤的很严重，想见她最后一面，爸爸号码：15193383486，爱心接力，好人有好报
1,38,在家自制美味的地三鲜地三鲜最最最普通的家常食材但做出来的味道绝对不比肉菜差而且超级下饭转自网络 转给TA 做起来,#生活经# 【在家自制美味的地三鲜】地三鲜，最最最普通的家常食材，但做出来的味道绝对不比肉菜差，而且超级下饭！（转自网络） 转给TA ，做起来~！
0,40,调查地沟油的记者李翔死了身中10余刀惨死他为全国不能吃特供的十多亿人民的食品安全努力过他付出了年轻的生命请动一下鼠标转发表达一下谢意,调查地沟油的记者，李翔，死了，身中10余刀，惨死。他为全国不能吃特供的十多亿人民的食品安全努力过。他付出了年轻的生命。请动一下鼠标，转发，表达一下谢意@王克勤 @王跃文 @薛蛮子
0,41,注意了肯德基情人节点餐就送套套为了避免尴尬和儿童他们不会主动说和宣传的你需要的话就对店员说送我几个肯德基安全套他们就会免费给不要错过,注意了！！！肯德基情人节点餐就送套套，为了避免尴尬和儿童，他们不会主动说和宣传的，你需要的话就对店员说送我几个肯德基安全套，他们就会免费给！！！！不要错过！
1,41,A股再次熔断 沪深300跌幅触及7A股再次熔断沪深300跌幅触及7暂停交易至收盘目前沪指跌超7创业板重挫逾8O相关新闻相关推荐,【A股再次熔断 沪深300跌幅触及7%】A股再次熔断！沪深300跌幅触及7%，暂停交易至收盘。目前，沪指跌超7%，创业板重挫逾8%。O相关新闻相关推荐
0,42,牛B军哥军姐开军车违规还要铲除执法交警组图近日南京军区南京警备区一军车上的便衣哥姐要铲除执法的交警中队副中队长,[牛B军哥军姐开军车违规还要铲除执法交警（组图）]近日，南京军区南京警备区一军车上的便衣哥姐要铲除执法的交警中队副中队长。
1,43,福建省长苏树林涉嫌严重违纪接受组织调查据中央纪委监察部网站福建省委副书记省长苏树林涉嫌严重违纪目前正接受组织调查O福建省委副书记省长苏树林涉嫌严重违纪接受组织调查,【福建省长苏树林涉嫌严重违纪接受组织调查】据中央纪委监察部网站：福建省委副书记、省长苏树林涉嫌严重违纪，目前正接受组织调查。O福建省委副书记、省长苏树林涉嫌严重违纪接受组织调查
1,44,缩时摄影展现英国上空忙碌航线看完这个视频有两个感受1Amazing 2 不知哪位神人能做个中国上空的估计更Amazing L视频缩时摄影展现英国上空忙碌航班 景象惊人,【缩时摄影展现英国上空忙碌航线】看完这个视频有两个感受，1：Amazing.... 2. 不知哪位神人能做个中国上空的，估计更Amazing  L视频：缩时摄影展现英国上空忙碌航班 景象惊人
0,44,最近有消息称马云已投资移民香港预计2015年成为香港永久居民希望晚年能在香港度过自此深刻影响当下中国大陆年轻人生活方式的三马只剩下马赛克和马克思了 2晋中绵山,最近，有消息称马云已投资移民香港，预计2015年成为香港永久居民，希望晚年能在香港度过。自此，深刻影响当下中国大陆年轻人生活方式的“三马”，只剩下“马赛克”和“马克思”了。 2晋中·绵山
0,45,越南惊现神奇乳瓜 酷似女人乳房在越南有一种外形酷似女人胸部的越南乳瓜越南商务部发言人说预计适当时间这种瓜果会大量进入中国市场流入千家万户的餐桌 O网页链接,【越南惊现神奇乳瓜 酷似女人乳房】在越南有一种外形酷似女人胸部的越南乳瓜，越南商务部发言人说，预计适当时间这种瓜果会大量进入中国市场，流入千家万户的餐桌。 O网页链接
1,46,国产超大型综合补给舰壮观出坞网友拍摄到一艘国产大型水面舰船出坞的壮观场面分析称该舰系超大型水面补给舰船吨位高达5万吨可为航母提供补给O网页链接,【国产超大型综合补给舰壮观出坞】网友拍摄到一艘国产大型水面舰船出坞的壮观场面。分析称该舰系超大型水面补给舰船，吨位高达5万吨，可为航母提供补给。O网页链接
0,46,快馬傳遞 谁的群最多帮忙转发一下一位叫徐敬的女孩21岁请速回雅安水城县人民医院妈妈伤的很严重想见她最后一面爸爸号码15193383486爱心接力好人有好报,快馬傳遞: 谁的群最多，帮忙转发一下，一位叫徐敬的女孩，21岁，请速回雅安水城县人民医院，妈妈伤的很严重，想见她最后一面，爸爸号码：15193383486，爱心接力，好人有好报
0,47,惠州城管和小贩冲突女小贩拿剪刀刺伤城管城管先占领了舆论高地着重强调城管队员被刺伤媒体就是不提女小贩被扒下了裤子被打昏迷O网页链接 我在2云路街,惠州城管和小贩冲突，女小贩拿剪刀刺伤城管，城管先占领了舆论高地，着重强调城管队员被刺伤，媒体就是不提女小贩被扒下了裤子，被打昏迷。O网页链接 我在:2云路街
1,48,阿里系表现抢眼 雄踞榜首 等都强势入百 仍稳居前三同时百强迎来不少黑马如 等排位提升显著运营可圈可点O10月份企业微博影响力百强榜来袭,#企业微博百强榜#10月榜单新鲜出炉！本期 “阿里系”表现抢眼，@天猫 雄踞榜首，@我的头好重啊啊啊、@阿里旅行 等都强势入百。@戴瑞珠宝Darry-Ring 仍稳居前三。同时，百强迎来不少“黑马”，如：@一加手机 、@高洁丝 等，排位提升显著，运营可圈可点。O10月份企业微博影响力百强榜来袭！
0,48,以后买牙膏要注意了牙膏尾部的颜色代表什么意思你知道吗爱护家人健康需留心颜色有4种绿蓝红黑 绿色纯天然 蓝色天然药物 红色天然化学成分 黑色纯化学转发艾特给你的亲人朋友吧,以后买牙膏要注意了！牙膏尾部的颜色代表什么意思你知道吗？爱护家人健康需留心。颜色有4种:绿、蓝、红、黑. 绿色:纯天然； 蓝色:天然+药物； 红色:天然+化学成分； 黑色:纯化学！转发艾特给你的亲人朋友吧！
1,49,真的是买不到国旗了 法国人爱起国来也是很拼的 今天法国官方祭奠亡灵号召每家每户挂国旗结果国旗供不应求于是浪漫而爱国的某些法国人民挂出了贴心的爱 来自网络,真的是买不到国旗了 ... 法国人爱起国来，也是很拼的 / 今天法国官方祭奠亡灵，号召每家每户挂国旗，结果国旗供不应求，于是浪漫而爱国的某些法国人民挂出了贴心的爱 ... （来自网络）
0,49,寻人启事 13759695559 帮忙扩散昨天上午一个三岁多小女孩在集宁广场附近被人拐走了O京东拍拍网 原知胃 提供健康养生食材 休闲食品价格实惠诚信可靠欢迎选购,"寻人启事 13759695559 帮忙扩散，昨天上午一个三岁多小女孩在集宁广场附近被人拐走了！O京东拍拍网 原知胃 提供：健康养生食材 ,休闲食品,价格实惠，诚信可靠，欢迎选购"
1,50,流浪狗被踢后招来朋友复仇石家庄一名男子因为流浪狗睡在家门前的停车场所以出来踢走它原以为狗狗就这样默默离开没想到趁男子不在场它找来狗朋友们展开毁车复仇 网友动物也有自尊心,【#狗的复仇# 流浪狗被踢后招来朋友复仇】石家庄一名男子因为流浪狗睡在家门前的停车场，所以出来踢走它，原以为狗狗就这样默默离开，没想到趁男子不在场，它找来狗朋友们，展开毁车复仇。@河北新闻哥 网友：动物也有自尊心！
0,50,立刻检查一下你家里的牙膏 如果是黑色条马上扔掉 牙膏管上面的颜色是有含义的 一共分4种绿 蓝 红 黑 绿色纯天然 蓝色天然药物 红色天然化学成分 黑色纯化学 转,立刻检查一下你家里的牙膏 如果是黑色条马上扔掉 牙膏管上面的颜色是有含义的 一共分4种：绿 蓝 红 黑 绿色：纯天然 蓝色：天然+药物 红色：天然+化学成分 黑色：纯化学 （转）
0,51,特特特特特特大好消息卖狗肉违法了 国家食品药品监督局11月1日开始集中受理狗肉馆举报举报电话12331 大家扩散出去啊爱狗狗爱动物养狗的爱狗的请果断转发见一个举报一个,特特特特特特大好消息！卖狗肉违法了， 国家食品药品监督局11月1日开始集中受理狗肉馆举报，举报电话：12331 ．大家扩散出去啊！爱狗狗爱动物！养狗的爱狗的请果断转发！见一个举报一个
0,52,美国护照中写着不管你身处何方美国政府都是你强大的后盾在中国护照中写着请严格遵守当地的法律并尊重那里的风俗习惯微评美国说出去了有人欺负你招呼一声咱修理他中国说出去了老实点听人家话少给老子惹麻烦,美国护照中写着：不管你身处何方，美国政府都是你强大的后盾。在中国护照中写着：请严格遵守当地的法律，并尊重那里的风俗习惯。微评：美国说：出去了有人欺负你，招呼一声咱修理他！中国说：出去了老实点，听人家话，少给老子惹麻烦！
1,52,江苏教育厅官方英文网站开通啦日前江苏教育厅的官方英文网江苏教育英文网及其手机APP已正式上线啦该网站旨在为国际友人提供最新江苏教育资讯搭建教育交流合作平台网址戳O网页链接 手机APP O网页链接,【江苏教育厅官方英文网站开通啦！】日前，江苏教育厅的官方英文网——江苏教育英文网及其手机APP已正式上线啦！该网站旨在为国际友人提供最新江苏教育资讯，搭建教育交流合作平台。网址戳O网页链接 手机APP O网页链接
1,53,当心孤独它会让人生病文人和哲人说孤独是一种境界好吧即使把它视为一种高级的东西也不能享受太多新一期美国国家科学院学报刊载新研究发现孤独会通过影响特定的基因表达等方式削弱人体免疫力最终使人更容易患上各类疾病O网页链接,【当心孤独！它会让人生病】文人和哲人说，孤独是一种境界。好吧，即使把它视为一种高级的东西，也不能享受太多。新一期美国《国家科学院学报》刊载新研究发现，孤独会通过影响特定的基因表达等方式，削弱人体免疫力，最终使人更容易患上各类疾病。O网页链接
0,53,7月20日湖北广水市强海制鞋厂出大事了 武汉理工大学学生杜春晓因超长度工作12小时中暑身亡 其父在找厂方维权时被当着警察面打死评天理在哪里公道在哪里转,7月20日湖北广水市强海制鞋厂出大事了 武汉理工大学学生杜春晓因超长度工作(12小时)中暑身亡 其父在找厂方维权时被当着警察面打死。评:天理在哪里？公道在哪里？转！@习美黄德荣
0,54,北京的朋友们注意一下强烈呼吁大家关好门窗不确定是否有有害气体北京地区距离塘沽直线150公里现时风速34级时速216KM小时预计7小时吹到北京今天日出523请大家在日出前关好门窗明晨尽量带口罩外出,北京的朋友们注意一下：强烈呼吁：大家关好门窗，不确定是否有有害气体。北京地区距离塘沽直线150公里，现时风速3-4级，时速21.6KM/小时，预计7小时吹到北京，今天日出5:23，请大家在日出前关好门窗，明晨尽量带口罩外出！#天津塘沽大爆炸#@平安天津 #天津爆炸##天津塘沽##天津塘沽大爆炸#
1,54,6大优点集于一身 一定要珍惜你身边的射手座昨儿一大波射手座的筒子们开始陆陆续续庆生了今儿才知道射手座居然有这么多优点呢呐怎么平常看起来疯疯癫癫的ps最后一条射手男对不住了,【6大优点集于一身 一定要珍惜你身边的射手座】昨儿一大波射手座的筒子们开始陆陆续续庆生了，今儿才知道射手座居然有这么多优点呢☟☟☟呐，怎么平常看起来疯疯癫癫的？ps.最后一条，射手男对不住了
0,55,以下内容不知是否正确但防范于未然还是做好食物等生活准备较好NASA警告证实地球将于12月16日起进入连续六天的黑夜宣称他们已经确认地球将在2014年12月16日到12月22日的六天内经历一个完全黑暗的时期,以下内容不知是否正确，但防范于未然还是做好食物等生活准备较好：NASA警告：证实地球将于12月16日起进入连续六天的黑夜！宣称他们已经确认地球将在2014年12月16日到12月22日的六天内，经历一个完全黑暗的时期。
0,55,中美护照对比美国护照中写着不管你身处何方美国政府都是你强大的后盾在中国护照中写着请严格遵守当地的法律并尊重那里的风俗习惯微评美国说出去了有人欺负你招呼一声咱修理他中国说出去了老实点听人家的话好好干少惹麻烦,【中美护照对比】美国护照中写着：“不管你身处何方，美国政府都是你强大的后盾”。在中国护照中写着：“请严格遵守当地的法律，并尊重那里的风俗习惯”。微评：美国说，出去了有人欺负你，招呼一声，咱修理他！中国说，出去了老实点，听人家的话，好好干，少惹麻烦。
1,56,超实用各类空间衣物的整理魔法买买买爽翻了可家里衣柜早就塞满了怎么破 推荐怦然心动的人生整理魔法教会你最节省空间的收纳方法和折叠方法通过整理找回人生决断力这个周末行动起来吧日本作家近藤麻理惠,【超实用！各类空间、衣物的整理魔法！】买买买，爽翻了！可家里衣柜早就塞满了，怎么破？ 推荐“怦然心动的人生整理魔法”，教会你最节省空间的收纳方法和折叠方法！通过整理，找回人生决断力。这个周末，行动起来吧~（日本作家近藤麻理惠）
0,56,原来是真事啊 新闻都报道了4岁成都男孩划伤宝马宝马车主打了小孩儿一耳光奶奶叫来6辆奔驰砸毁宝马 然后爸爸来了把车买下并且砸烂 O网页链接 你地点睇日日猛料关注,原来是真事啊 ？！ 新闻都报道了！！4岁成都男孩划伤宝马，宝马车主打了小孩儿一耳光，奶奶叫来6辆奔驰砸毁宝马！！！ 然后爸爸来了把车买下，并且砸烂！！！ O网页链接 你地点睇？【日日猛料，关注@有嘢 】
0,57,教委紧急通知牛肉不许吃了未接到解除通知之前不许买牛肉 钓鱼乡辉山乳液养牛场的牛生病了牛死了人扒皮感染了炭疽病皮肤溃烂高烧不退有生命危险好几个工人感染现已送沈阳抢救卫生局已下通知,**教委紧急通知**:牛肉不许吃了。未接到解除通知之前不许买牛肉。 钓鱼乡辉山乳液养牛场的牛生病了，牛死了人扒皮感染了炭疽病，皮肤溃烂，高烧不退。有生命危险，好几个工人感染现已送沈阳抢救。卫生局已下通知……
1,57,向氏家庭一家6口4人被埋被埋者为一位老人和3个小孩小孩最大9岁最小4岁今天是周末三人和爷爷在铁皮房家中在外工作的父母闻讯拨打家中电话无人接听赶回家时眼前已成一片黄土O秒拍视频,#深圳突发山体滑坡#【一家6口4人被埋】据@深圳晚报 向氏家庭一家6口4人被埋被埋者为一位老人和3个小孩，小孩最大9岁，最小4岁，今天是周末，三人和爷爷在铁皮房家中。在外工作的父母闻讯拨打家中电话，无人接听，赶回家时眼前已成一片黄土。O秒拍视频
1,58,快讯布拉特和普拉蒂尼被禁足八年据路透社BBC等外媒报道国际足联道德委员会今日决定对国际足联主席布拉特和欧足联主席普拉蒂尼予以禁止足球活动八年的处罚并对两人分别处以罚金,【快讯：布拉特和普拉蒂尼被“禁足”八年】据路透社、BBC等外媒报道，国际足联道德委员会今日决定，对国际足联主席布拉特和欧足联主席普拉蒂尼予以禁止足球活动八年的处罚，并对两人分别处以罚金。@微天下
0,58,我正在看中国需要这样的医生转出去一直转到中央分享给你一起看吧nbspnbsp李芊你是好样的我坚决支持你你是真正具有救死扶伤美德的好医生是具备中华民族优秀品质的好姑娘向你表示崇高的敬意O中国需要这样的医生转出去一直转到中央,我正在看【中国需要这样的医生！转出去，一直转到中央！】，分享给你，一起看吧！&nbsp;&nbsp;李芊，你是好样的，我坚决支持你，你是真正具有救死扶伤美德的好医生，是具备中华民族优秀品质的好姑娘，向你表示崇高的敬意！O中国需要这样的医生！转出去，一直转到中央！
1,59,京港澳高速物流公司货车起火 800万货物燃烧殆尽今天早上8点左右在京港澳高速长葛收费站一辆从深圳开来的货车起火经过紧张扑救目前火已经扑灭车上装的货物是一家物流公司运送的电子设备车主称价值在800万左右O网易图片,【京港澳高速物流公司货车起火 800万货物燃烧殆尽】今天早上8点左右，在京港澳高速长葛收费站，一辆从深圳开来的货车起火。经过紧张扑救，目前火已经扑灭。车上装的货物是一家物流公司运送的电子设备，车主称价值在800万左右。O网易图片
0,59,北京的朋友们注意一下强烈呼吁大家关好门窗不确定是否有有害气体北京地区距离塘沽直线150公里现时风速34级时速216KM小时预计7小时吹到北京今天日出523请大家在日出前关好门窗明晨尽量带口罩外出 2北京广安门,北京的朋友们注意一下：强烈呼吁：大家关好门窗，不确定是否有有害气体。北京地区距离塘沽直线150公里，现时风速3-4级，时速21.6KM/小时，预计7小时吹到北京，今天日出5:23，请大家在日出前关好门窗，明晨尽量带口罩外出！ 2北京·广安门
0,60,我们还能捐钱吗雅安总人口153万三星苹果富士康三家公司总共捐款加起来是1亿6000万平均分给每个人是105万左右现在还在缺物资缺钱各个地方组织各种学校还在捐钱钱去哪了还有加多宝集团的一个亿钱呢,我们还能捐钱吗？雅安总人口153万，三星苹果富士康三家公司总共捐款加起来是1亿6000万，平均分给每个人是105万左右。现在还在缺物资，缺钱，各个地方组织各种学校还在捐钱。钱去哪了?还有加多宝集团的一个亿。钱呢？
0,60,唐山大爆炸到底怎么样了朋友圈河北省唐山市南堡开发区三友集团分公司氯碱有限公司发生严重爆炸爆炸导致现场1088人严重受伤死亡从7人上升到26人伤者已被送到最近的医院省领导已到达现场另外此次爆炸大面积扩散致癌物质 2唐山新华道,唐山大爆炸，到底怎么样了？（朋友圈--河北省唐山市南堡开发区三友集团分公司氯碱有限公司发生严重爆炸，爆炸导致现场1088人严重受伤。死亡从7人上升到26人。伤者已被送到最近的医院.省领导已到达现场……另外此次爆炸大面积扩散致癌物质） 2唐山·新华道
1,60,今日解放军报出现13个集团军番号解放军报出现了13个集团军番号11213163921314254等13个集团军番号2013年4月中国武装力量的多样化运用白皮书曾首度公开了陆军全部18个集团军番号O网页链接,【今日《解放军报》出现13个集团军番号】解放军报出现了13个集团军番号：1、12、13、16、39、21、31、42、54等13个集团军番号，2013年4月《中国武装力量的多样化运用》白皮书曾首度公开了陆军全部18个集团军番号。O网页链接
1,61,他4000万版税全部用做慈善他准备了100口棺材99口留给贪官一口留给自己在天安门城楼上老人已经有些站不稳了还坚持站的笔直一个人的气节不会因为头发白了而改变他曾经说的话永远被人们铭记致敬一代名相朱镕基,他4000万版税全部用做慈善；他准备了100口棺材，99口留给贪官，一口留给自己！在天安门城楼上老人已经有些站不稳了，还坚持站的笔直！一个人的气节，不会因为头发白了而改变！他曾经说的话，永远被人们铭记！致敬一代名相——朱镕基！#转发致敬#
1,61,苹果撒满地今早七点多一辆山西号牌满载30吨苹果的大货车因为拐弯时车速过快侧翻在泉南高速柳州往南宁转下北海方向的匝道上车上的货物撒满一地大货车司机受伤随后被送往医院救治 网友今天是苹果节平安夜心疼,【#满载苹果货车高速侧翻# 苹果撒满地】今早七点多，一辆山西号牌、满载30吨苹果的大货车因为拐弯时车速过快，侧翻在泉南高速柳州往南宁转下北海方向的匝道上，车上的货物撒满一地，大货车司机受伤，随后被送往医院救治。 网友：今天是“苹果节”——平安夜，心疼！@NNTV新闻夜班
0,61,这孩子天天以同样的姿势趴在二连市义乌国际商贸城二楼F区和区的通道里乞讨 本人怀疑是被拐卖的 被喂了药才这样 求扩散 谢谢请爱心人士转发宝贝回家网站看看谁家父母在找麻烦大家转发一下孩子的爸爸妈妈一定很着急,这孩子天天以同样的姿势趴在二连市义乌国际商贸城二楼F区和Ｇ区的通道里乞讨 本人怀疑是被拐卖的 被喂了药才这样 求扩散 谢谢！！！请爱心人士转发（宝贝回家）网站看看谁家父母在找！麻烦大家转发一下，孩子的爸爸妈妈一定很着急，……
0,62,这个可以有请大家5月13号一定别进影院大家一起为贞子票房为零做努力 中国人拍的金陵十三钗在日本小鬼子票房为零小日本拍的贞子3D将于5月12日在中国大陆上映而5月12日既是南京大屠杀纪念日爱国的就转发吧,【这个可以有！】请大家5月13号一定别进影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，爱国的就转发吧!
0,62,Sunny就爱这样宝妈们注意了太恐怖了我以后一定要拔掉看看以后给我插头拔拔掉这个小女孩不幸死于电话充电器就是因为大人平时充完电后没有及时把充电器插头部位拔出小女孩拿起充电器另一头来玩含在嘴里确不幸触电身亡,Sunny就爱这样！宝妈们注意了:太恐怖了，我以后一定要拔掉！看看！以后给我插头拔拔掉！！！！！这个小女孩不幸死于电话充电器，就是因为大人平时充完电后没有及时把充电器插头部位拔出，小女孩拿起充电器另一头来玩含在嘴里，确不幸触电身亡！
